FlyBase_FBgn	FlyBase_FBtr	FlyBase_FBpp
FBgn0000003	FBtr0081624	
FBgn0000008	FBtr0071763	FBpp0071677
FBgn0000008	FBtr0071764	FBpp0071678
FBgn0000008	FBtr0100521	FBpp0099961
FBgn0000008	FBtr0342981	FBpp0309745
FBgn0000014	FBtr0083387	FBpp0082828
FBgn0000014	FBtr0083388	FBpp0082829
FBgn0000014	FBtr0300485	FBpp0289712
FBgn0000014	FBtr0306337	FBpp0297433
FBgn0000015	FBtr0083381	FBpp0082823
FBgn0000015	FBtr0083382	FBpp0082824
FBgn0000015	FBtr0083383	FBpp0082825
FBgn0000015	FBtr0083384	FBpp0082826
FBgn0000015	FBtr0083385	FBpp0089276
FBgn0000015	FBtr0330709	FBpp0303552
FBgn0000015	FBtr0346764	FBpp0312359
FBgn0000015	FBtr0415463	FBpp0373669
FBgn0000015	FBtr0415464	FBpp0373670
FBgn0000015	FBtr0415465	FBpp0373671
FBgn0000017	FBtr0075357	FBpp0075116
FBgn0000017	FBtr0112790	FBpp0111702
FBgn0000017	FBtr0330130	FBpp0303163
FBgn0000017	FBtr0330131	FBpp0303164
FBgn0000017	FBtr0330132	FBpp0303165
FBgn0000017	FBtr0330133	FBpp0303166
FBgn0000017	FBtr0330134	FBpp0303167
FBgn0000017	FBtr0330135	FBpp0303168
FBgn0000017	FBtr0330136	FBpp0303169
FBgn0000017	FBtr0345369	FBpp0311523
FBgn0000018	FBtr0080168	FBpp0079757
FBgn0000022	FBtr0070072	FBpp0070071
FBgn0000024	FBtr0082780	FBpp0082248
FBgn0000024	FBtr0300486	FBpp0289713
FBgn0000024	FBtr0335223	FBpp0307210
FBgn0000028	FBtr0074015	FBpp0073832
FBgn0000028	FBtr0100326	FBpp0099732
FBgn0000028	FBtr0100328	FBpp0099734
FBgn0000028	FBtr0290063	FBpp0288502
FBgn0000028	FBtr0290064	FBpp0288503
FBgn0000028	FBtr0305189	FBpp0293719
FBgn0000028	FBtr0305190	FBpp0293720
FBgn0000028	FBtr0305191	FBpp0293721
FBgn0000028	FBtr0305192	FBpp0293722
FBgn0000028	FBtr0305193	FBpp0293723
FBgn0000028	FBtr0305194	FBpp0293724
FBgn0000028	FBtr0305195	FBpp0293725
FBgn0000028	FBtr0305196	FBpp0293726
FBgn0000032	FBtr0085609	FBpp0084974
